problem,matrix_role,mu,tau,dimension,lambda_min,lambda_max,max_abs_lambda,min_abs_lambda,condition_number,tau_lambda_min,tau_lambda_max,min_abs_tau_lambda,max_abs_tau_lambda,max_grid_distance,mean_grid_distance,no_aliasing,aliasing_margin,aliasing_ratio,exact_phase_grid
harmonic_oscillator,physical_hermitian_99x99,2000,3966.6280166708093,99,-0.16682632930975952,0.007754542770047978,0.16682632930975952,0.0005141528607092696,324.4683479532215,-661.7379917584427,30.759386608144375,2.039453142140833,661.7379917584427,0.48930257514916775,0.2317935698851311,True,338.2620082415573,0.6617379917584427,False
damped_oscillator,hermitian_embedding_198x198,4096,8892.098602882095,198,-0.16680686286454724,0.16680686286454724,0.16680686286454724,0.00015180971786846894,1098.7890973427152,-1483.2630722289857,1483.2630722289857,1.3499069801621377,1483.2630722289857,0.4991834407742317,0.24856430826708076,True,564.7369277710143,0.7242495469868094,False
heat_2d,physical_hermitian_400x400,1024,44.97941097041009,400,-7.955323304900524,-0.04467669509947473,7.955323304900524,0.04467669509947473,178.06427461090462,-357.8257563336017,-2.0095314296789804,2.0095314296789804,357.8257563336017,0.49823096498063535,0.1711942589291799,True,154.1742436663983,0.6988784303390658,False
random_00,physical_hermitian_16x16,128,53.960418607174844,16,-0.9900990099009901,0.907766981689811,0.9900990099009901,0.0372617128899091,26.571484054591604,-53.42615703680678,48.98348632975382,2.010657625559858,53.42615703680678,0.4936386742771752,0.23467220032291533,True,10.573842963193222,0.8347837037001059,False
random_01,physical_hermitian_16x16,256,103.86152096099995,16,-0.9900990099009901,0.792707348503386,0.9900990099009901,0.013003435410092258,76.14134101304892,-102.83318907029698,82.33179089252312,1.350556579410306,102.83318907029698,0.4960417950645706,0.30191748444029154,True,25.16681092970302,0.8033842896116952,False
random_02,physical_hermitian_16x16,128,58.176000000000016,16,-0.9900990099009905,0.8638663449637669,0.9900990099009905,0.052099153336329466,19.004128598968627,-57.600000000000044,50.25628848461212,3.030920344494304,57.600000000000044,0.4971684289512588,0.2567698068468992,True,6.399999999999956,0.9000000000000007,False
random_03,physical_hermitian_16x16,256,70.1976764745112,16,-0.9900990099009901,0.9511220567349995,0.9900990099009901,0.07175503268842602,13.798321494747107,-69.50264997476356,66.76655842645518,5.037036570080105,69.50264997476356,0.4973500252364431,0.2421792813042068,True,58.49735002523644,0.5429894529278403,False
random_04,physical_hermitian_16x16,128,39.212932888070625,16,-0.965205047013532,0.9900990099009895,0.9900990099009895,0.03480278753043121,28.44884218068041,-37.84852073176869,38.82468602779267,1.3647193717485802,38.82468602779267,0.4163931494886661,0.2590617533558474,True,25.175313972207327,0.6066357191842605,False
random_05,physical_hermitian_16x16,128,46.862877866505386,16,-0.8035895069425968,0.9900990099009901,0.9900990099009901,0.02867254975902822,34.53125090799552,-37.6585169186562,46.39888897673801,1.343678197478638,46.39888897673801,0.45925908132348603,0.2947271219482548,True,17.601111023261993,0.7249826402615314,False
random_06,physical_hermitian_16x16,512,232.704,16,-0.9530614002818012,0.9900990099009909,0.9900990099009909,0.01914293249774976,51.72138647082292,-221.78120009117626,230.40000000000018,4.45463696395636,230.40000000000018,0.4683968954601365,0.2962242429293996,True,25.599999999999824,0.9000000000000007,False
random_07,physical_hermitian_16x16,512,177.0198589039942,16,-0.9900990099009906,0.7808367725812521,0.9900990099009906,0.005666329627804621,174.7337474054783,-175.2671870336577,138.22361530938343,1.003052871217496,175.2671870336577,0.45814559707571334,0.2293546270992733,True,80.7328129663423,0.6846374493502254,False
random_08,physical_hermitian_16x16,128,44.29119222694715,16,-0.9900990099009912,0.9447475571225692,0.9900990099009912,0.02259965825049651,43.810353188824834,-43.85266557123485,41.843995658454446,1.000965807836053,43.85266557123485,0.419361734321992,0.23624664952084895,True,20.14733442876515,0.6851978995505446,False
random_09,physical_hermitian_16x16,256,103.25630471104074,16,-0.8623818826986377,0.9900990099009899,0.9900990099009899,0.044097401475312555,22.452547696155882,-89.04636645721153,102.23396506043635,4.553334723699971,102.23396506043635,0.47520613499750297,0.2623757277205155,True,25.766034939563653,0.798702852034659,False
random_10,physical_hermitian_16x16,128,39.09690326156945,16,-0.9900990099009912,0.7754984529116995,0.9900990099009912,0.07867976638949155,12.583908866730297,-38.709805209474744,30.31958799298549,3.0761352151728345,38.709805209474744,0.37927352344388154,0.21939776453493456,True,25.290194790525256,0.6048407063980429,False
random_11,physical_hermitian_16x16,128,57.04301431212522,16,-0.9900990099009911,0.7119001912127975,0.9900990099009911,0.01850718531431153,53.49808699085925,-56.47823199220325,40.60893279615629,1.0557056367614264,56.47823199220325,0.4782319922032485,0.22030131211258255,True,7.5217680077967515,0.8824723748781758,False
random_12,physical_hermitian_16x16,128,49.59573004529589,16,-0.9900990099009908,0.7879090038013289,0.9900990099009908,0.02090854203152348,47.353804412007015,-49.10468321316428,39.07692225278872,1.036974406236161,49.10468321316428,0.4936872509764356,0.18885545691706673,True,14.895316786835721,0.7672606752056919,False
random_13,physical_hermitian_16x16,128,52.427603787370685,16,-0.9352437889042866,0.9900990099009908,0.9900990099009908,0.06535987210508955,15.148423306414214,-49.03259080927329,51.90851860135715,3.4266614783188563,51.90851860135715,0.49490710404726457,0.29336920895637353,True,12.091481398642848,0.8110706031462055,False
random_14,physical_hermitian_16x16,2000,644.1514580224862,16,-0.9900990099009899,0.774030824630819,0.9900990099009899,0.0021074248098371436,469.8146312406288,-637.7737208143426,498.59308424028933,1.3575007639293568,637.7737208143426,0.49875975373302595,0.3074968242812387,True,362.2262791856574,0.6377737208143426,False
random_15,physical_hermitian_16x16,512,193.84566803761132,16,-0.8624423969195862,0.9900990099009906,0.9900990099009906,0.023103984573410275,42.854037006260285,-167.18072257483593,191.92640399763508,4.478607323963381,191.92640399763508,0.4786073239633808,0.23290850025272336,True,64.07359600236492,0.749712515615762,False
random_16,physical_hermitian_16x16,128,44.89577334950487,16,-0.9225304543518481,0.990099009900989,0.990099009900989,0.04631543520619858,21.37730122783085,-41.417718186596325,44.45126074208398,2.07936728160117,44.45126074208398,0.45126074208398137,0.1897412607580287,True,19.54873925791602,0.6945509490950622,False
random_17,physical_hermitian_16x16,256,70.78997102042365,16,-0.9205834631570577,0.9900990099009904,0.9900990099009904,0.048443049953426916,20.4384119260218,-65.16807667876937,70.08908021824126,3.4292821023440268,70.08908021824126,0.4998293023373197,0.19618998992885836,True,57.910919781758736,0.5475709392050099,False
random_18,physical_hermitian_16x16,256,109.83436378053102,16,-0.990099009900989,0.8119175623935564,0.990099009900989,0.040699127954811114,24.32727824046529,-108.74689483220881,89.17644890773586,4.470162825339103,108.74689483220881,0.47016282533910303,0.22618002731678538,True,19.25310516779119,0.8495851158766313,False
random_19,physical_hermitian_16x16,128,22.33193495734385,16,-0.8457348710561645,0.9900990099009901,0.9900990099009901,0.061340354948191525,16.14107076389164,-18.886896131583853,22.110826690439456,1.3698488169633982,22.110826690439456,0.4537532001249094,0.26955045541807343,True,41.88917330956055,0.3454816670381165,False
