problem,matrix_role,eigenvalue_index,eigenvalue,tau,tau_lambda,nearest_integer,grid_distance,aliased
harmonic_oscillator,physical_hermitian_99x99,0,-0.16682632930975952,3966.6280166708093,-661.7379917584427,-662,0.2620082415572824,False
harmonic_oscillator,physical_hermitian_99x99,1,-0.16669709036305422,3966.6280166708093,-661.2253489315964,-661,0.22534893159638614,False
harmonic_oscillator,physical_hermitian_99x99,2,-0.16648183383791681,3966.6280166708093,-660.3715063682153,-660,0.3715063682152504,False
harmonic_oscillator,physical_hermitian_99x99,3,-0.16618077216654945,3966.6280166708093,-659.1773067078236,-659,0.17730670782361813,False
harmonic_oscillator,physical_hermitian_99x99,4,-0.16579420246047394,3966.6280166708093,-657.6439284813083,-658,0.3560715186916923,False
harmonic_oscillator,physical_hermitian_99x99,5,-0.1653225062173192,3966.6280166708093,-655.7728849478524,-656,0.22711505214761019,False
harmonic_oscillator,physical_hermitian_99x99,6,-0.16476614894432853,3966.6280166708093,-653.5660226015291,-654,0.43397739847091543,False
harmonic_oscillator,physical_hermitian_99x99,7,-0.16412567969896072,3966.6280166708093,-651.025519349037,-651,0.02551934903704023,False
harmonic_oscillator,physical_hermitian_99x99,8,-0.16340173054703602,3966.6280166708093,-648.1538823603674,-648,0.1538823603674473,False
harmonic_oscillator,physical_hermitian_99x99,9,-0.16259501593896405,3966.6280166708093,-644.9539455945317,-645,0.04605440546833961,False
harmonic_oscillator,physical_hermitian_99x99,10,-0.161706332004667,3966.6280166708093,-641.4288670027837,-641,0.42886700278370427,False
harmonic_oscillator,physical_hermitian_99x99,11,-0.160736555767896,3966.6280166708093,-637.5821254121063,-638,0.4178745878937207,False
harmonic_oscillator,physical_hermitian_99x99,12,-0.1596866442807143,3966.6280166708093,-633.4175170920269,-633,0.4175170920268556,False
harmonic_oscillator,physical_hermitian_99x99,13,-0.15855763367900216,3966.6280166708093,-628.9391520081571,-629,0.06084799184293388,False
harmonic_oscillator,physical_hermitian_99x99,14,-0.15735063815991662,3966.6280166708093,-624.1514497661562,-624,0.15144976615624728,False
harmonic_oscillator,physical_hermitian_99x99,15,-0.1560668488823127,3966.6280166708093,-619.0591352501109,-619,0.059135250110898596,False
harmonic_oscillator,physical_hermitian_99x99,16,-0.1547075327912134,3966.6280166708093,-613.667233959645,-614,0.3327660403549544,False
harmonic_oscillator,physical_hermitian_99x99,17,-0.1532740313674886,3966.6280166708093,-607.9810670503607,-608,0.01893294963929293,False
harmonic_oscillator,physical_hermitian_99x99,18,-0.15176775930397465,3966.6280166708093,-602.0062460824978,-602,0.006246082497796124,False
harmonic_oscillator,physical_hermitian_99x99,19,-0.15019020310934392,3966.6280166708093,-595.7486674830029,-596,0.25133251699708126,False
harmonic_oscillator,physical_hermitian_99x99,20,-0.1485429196410999,3966.6280166708093,-589.2145067264674,-589,0.21450672646744806,False
harmonic_oscillator,physical_hermitian_99x99,21,-0.14682753456914663,3966.6280166708093,-582.4102122406788,-582,0.4102122406787885,False
