instance,seed,generation_attempt,dimension,dtype,threads,mu,tau,C_phys,C_bin,no_aliasing,aliasing_margin,singular_bin_assigned,zero_bin_separated,rotation_valid,parameter_target_met,predicted_rhs_filter_relative_error,parameter_selection_seconds,ancilla_success_probability,ancilla_clock_zero_probability,tn_clock_zero_equivalent_probability,ancilla_clock_zero_probability_absolute_difference,fidelity_tn_ancilla_clock_zero,fidelity_tn_ancilla,ancilla_conditioned_purity,probability_rmse_tn_ancilla_clock_zero,probability_rmse_tn_ancilla,probability_rmse_sampled_ancilla_exact,sampled_ancilla_success_probability,shots,successful_ancilla_shots,timing_repetitions,qiskit_unitary_seconds,qiskit_circuit_seconds,qiskit_transpile_seconds,qiskit_statevector_seconds,qiskit_extraction_postprocessing_seconds,qiskit_shots_seconds,qiskit_total_exact_seconds,tn_unitary_seconds,tn_preparation_seconds,tn_contraction_seconds,tn_normalization_postprocessing_seconds,tn_total_seconds,speedup_total,speedup_core_valid,speedup_core,qiskit_exact_rss_baseline_bytes,qiskit_exact_peak_rss_bytes,qiskit_exact_peak_rss_delta_bytes,tn_rss_baseline_bytes,tn_peak_rss_bytes,tn_peak_rss_delta_bytes
0,12345,1,16,complex128,1,128,53.960418607174844,0.016678892107044024,0.9,True,10.573842963193222,False,True,True,True,0.006342148681908832,0.06251210000482388,0.008685594940309382,0.00830723559354018,0.008307235593541153,9.731798700229888e-16,1.0,0.9605664893615811,0.923371236789146,8.840780719089494e-15,0.005778073081460854,0.008895041525044773,0.00912,100000,912,3,0.00026959998649545014,0.2665679999918211,0.14291070000035688,0.15366440001525916,0.00011130000348202884,0.25434789998689666,0.5618127999769058,0.0003674999752547592,0.004066299996338785,0.00018319999799132347,3.999998443759978e-05,0.004659799946239218,120.5658625817891,False,,302600192,329379840,26779648,212697088,212922368,225280
1,12345,1,16,complex128,1,256,103.86152096099995,0.008665384366342472,0.8999999999999999,True,25.16681092970302,False,True,True,True,0.006722874703607498,0.062404299998888746,0.029399420335997073,0.02255342419947141,0.02255342419946532,6.088879400678593e-15,1.0,0.9878251722476145,0.9787855655293493,6.444452830985569e-15,0.003941127584538468,0.004455573249690273,0.02983,100000,2983,3,0.00027200000477023423,0.29608359999838285,0.16003599998657592,0.24638900000718422,0.00017019998631440103,0.3430172999796923,0.7029248999897391,0.00043559999903663993,0.008539000002201647,0.0005209999799262732,4.5599997974932194e-05,0.009607700019842014,73.16266104666512,False,,307376128,337506304,30130176,218300416,221106176,2805760
2,12345,1,16,complex128,1,128,58.176000000000016,0.015470297029702965,0.8999999999999999,True,6.399999999999956,False,True,True,True,0.0072430764146765225,0.06111470001633279,0.0043914454157537655,0.004050619633570621,0.0040506196335700516,5.698566618583811e-16,1.0,0.9294305003679998,0.8652153362792457,2.2267853231831252e-14,0.006560767243943922,0.010839039153342476,0.00439,100000,439,3,0.00028479998582042754,0.2615837999910582,0.14542200000141747,0.15217200000188313,9.76000155787915e-05,0.24973370000952855,0.5595590999873821,0.00035960000241175294,0.004091999988304451,0.0001888000115286559,4.7200010158121586e-05,0.004672300012316555,119.76095253137422,False,,301858816,328269824,26411008,212832256,213065728,233472
3,12345,1,16,complex128,1,256,70.1976764745112,0.012820937176272355,0.8999999999999999,True,58.49735002523644,False,True,True,True,0.0069661638185254966,0.06257070001447573,0.0036012664248764926,0.0031540859335047085,0.0031540859335045975,1.1102230246251565e-16,1.0,0.9072636443796848,0.8311090834300379,1.6163632172031505e-14,0.013518462625184186,0.01514946248510428,0.00379,100000,379,3,0.0002592999953776598,0.29926860000705346,0.16193619999103248,0.24774699998670258,0.00016369999502785504,0.350159999972675,0.7146909000293817,0.0003927999932784587,0.00864059999003075,0.0005970000056549907,4.7900015488266945e-05,0.009663300006650388,73.95929957028382,False,,307204096,334192640,26988544,217985024,220803072,2818048
4,12345,1,16,complex128,1,128,39.212932888070625,0.02295161146372192,0.9,True,25.175313972207327,False,True,True,True,0.0034841847425366077,0.061688799993135035,0.15812326652072115,0.1197122267257896,0.11971222672579117,1.5681900222830336e-15,1.0,0.9810515895864035,0.967348255553705,3.4570914560555764e-15,0.0034257224506178425,0.0011123688847497315,0.15648,100000,15648,3,0.00030800001695752144,0.28888320000260137,0.14664449999690987,0.1572703999991063,0.00011359999189153314,0.26060370000777766,0.5921884999843314,0.000367300002835691,0.0044191999768372625,0.00018499998259358108,4.509999416768551e-05,0.005029399995692074,117.74535739682064,False,,304988160,328093696,23105536,213417984,213614592,196608
5,12345,1,16,complex128,1,128,46.862877866505386,0.01920496651024633,0.9,True,17.601111023261993,False,True,True,True,0.009884449295605226,0.06310479997773655,0.017843582590517958,0.013997852533891532,0.01399785253389414,2.609024107869118e-15,1.0,0.8505402937342228,0.7354297226926718,9.718189715911982e-15,0.014558752178884925,0.005939038573263223,0.01837,100000,1837,3,0.0002683000057004392,0.27201590000186116,0.14489919997868128,0.1565581999893766,0.00010599999222904444,0.25161759997718036,0.5731459000089671,0.0003657999914139509,0.004136300005484372,0.00018239999189972878,4.230000195093453e-05,0.004783299984410405,119.82227789955635,False,,304193536,328507392,24313856,213889024,214085632,196608
6,12345,1,16,complex128,1,512,232.704,0.003867574257425743,0.9000000000000001,True,25.599999999999824,False,True,True,True,0.005283036980873063,0.06372440000995994,0.0025135964177676728,0.0019247596164595176,0.0019247596164584345,1.083117970313019e-15,0.9999999999999996,0.8913779406194307,0.8109389153092948,4.4087568757663855e-14,0.02154142211213362,0.011490615503885363,0.00258,100000,258,3,0.00027439999394118786,0.3633842999988701,0.22501749999355525,0.5069365000235848,0.00020390001009218395,0.5920467000105418,1.096999000001233,0.0003954000130761415,0.020163799985311925,0.002209700003731996,5.9600017266348004e-05,0.023013199999695644,47.66825126517569,False,,306483200,351580160,45096960,234737664,234934272,196608
7,12345,1,16,complex128,1,512,177.0198589039942,0.005084175332486907,0.9,True,80.7328129663423,False,True,True,True,0.0035593596240912975,0.05784490000223741,0.0026286740964831107,0.0023916663184390665,0.0023916663184387586,3.0791341698588326e-16,0.9999999999999996,0.9229206964111047,0.8554433832177288,8.139574707035984e-15,0.006165092054010114,0.01454992179442444,0.00264,100000,264,3,0.00029090000316500664,0.37220630000228994,0.22196180000901222,0.5077997999906074,0.00024610001128166914,0.5952083000156563,1.110496500012232,0.0003797000099439174,0.019772300001932308,0.002154399990104139,6.140000186860561e-05,0.022365900018485263,49.65132183790566,False,,304484352,347574272,43089920,234119168,234328064,208896
8,12345,1,16,complex128,1,128,44.29119222694715,0.020320067145368735,0.8999999999999999,True,20.14733442876515,False,True,True,True,0.005631860751334099,0.06189589999848977,0.011606207341030624,0.01117157376170319,0.011171573761703399,2.0816681711721685e-16,1.0,0.9642608242867912,0.9302781317825235,6.393947983964084e-15,0.002614509678625249,0.00475558340693115,0.01156,100000,1156,3,0.0002817999920807779,0.2873594000120647,0.1529300999827683,0.18026560000726022,0.0001126999850384891,0.2601839000126347,0.6218383000232279,0.00037090000114403665,0.004453100002137944,0.00019329998758621514,5.09000092279166e-05,0.005096900014905259,122.00323690963882,False,,303624192,330711040,27086848,213372928,213561344,188416
9,12345,1,16,complex128,1,256,103.25630471104074,0.008716174789700439,0.8999999999999999,True,25.766034939563653,False,True,True,True,0.005486346679838478,0.0626328999933321,0.009437117341425596,0.007138331001040363,0.007138331001041445,1.0824674490095276e-15,1.0,0.9466104984074684,0.9075661842448082,1.2679010612751966e-14,0.008500133175465326,0.005766219085069652,0.0096,100000,960,3,0.00026339999749325216,0.32272930000908673,0.174811500008218,0.27821010001935065,0.00017210000078193843,0.35728719999315217,0.7693551999982446,0.0003758999810088426,0.009041999990586191,0.0005633999826386571,4.810001701116562e-05,0.010013599996455014,76.83102982649692,False,,307175424,335974400,28798976,217690112,220631040,2940928
