sweep,N,mu,tau,repetitions,no_aliasing,tn_total_median_seconds,tn_total_q1_seconds,tn_total_q3_seconds,tn_unitary_median_seconds,tn_preparation_median_seconds,tn_contraction_median_seconds,filter_eigendecomposition_median_seconds,filter_values_median_seconds,filter_application_median_seconds,filter_total_median_seconds,filter_total_q1_seconds,filter_total_q3_seconds,tn_filter_relative_difference,dominant_tensor_storage_estimate_bytes,memory_repetitions,tn_rss_baseline_median_bytes,tn_rss_baseline_q1_bytes,tn_rss_baseline_q3_bytes,tn_peak_rss_median_bytes,tn_peak_rss_q1_bytes,tn_peak_rss_q3_bytes,tn_peak_rss_delta_median_bytes,tn_peak_rss_delta_q1_bytes,tn_peak_rss_delta_q3_bytes
N,16,64,20.0,5,True,0.0035184999996999977,0.0034643999997570063,0.007515100000091479,0.0003260000003137975,0.003198800000063784,7.580000010420918e-05,2.369999992879457e-05,4.8999999762600055e-05,2.4000000848900527e-06,7.540000024164328e-05,6.60000000607397e-05,8.649999972476508e-05,1.736879420600822e-14,504192,5,204357632.0,204279808.0,204431360.0,211808256.0,211611648.0,212029440.0,7331840.0,7172096.0,7598080.0
N,32,64,20.0,5,True,0.006332800000109273,0.004530000000158907,0.007243800000196643,0.00048289999995176913,0.005583099999967089,0.00011790000007749768,0.00034029999960694113,0.00014469999996435945,5.80000005356851e-06,0.0004749999998239218,0.0004492000002755958,0.0005288000002110493,2.4081752565578572e-14,1360640,5,204341248.0,204259328.0,204627968.0,212762624.0,212738048.0,213946368.0,8818688.0,8421376.0,9318400.0
N,64,64,20.0,5,True,0.0065389999999752035,0.00610129999995479,0.008509200000389683,0.000808599999800208,0.005320000000210712,0.00016300000015689875,0.0009117999998125015,0.00016090000008261995,4.500000159168849e-06,0.0010674000000108208,0.0009622000002309505,0.0013510999997379258,2.4314388441031563e-14,4720128,5,204509184.0,204447744.0,204644352.0,216342528.0,216231936.0,216363008.0,11681792.0,11587584.0,11915264.0
N,96,64,20.0,5,True,0.007989899999756744,0.007910599999831902,0.008699699999851873,0.0011245999999118794,0.006723200000124052,0.00020670000003519817,0.0017578000001776672,0.00019490000022415188,5.500000042957254e-06,0.0019669000002977555,0.0019575999999688065,0.0021343999997043284,4.128415177222757e-14,10275072,5,205074432.0,204742656.0,205090816.0,223883264.0,223592448.0,224120832.0,18849792.0,18812928.0,19046400.0
N,128,64,20.0,5,True,0.011911999999938416,0.011608900000283029,0.01220210000019506,0.0017023999998855288,0.00990959999990082,0.0002814999998008716,0.003357499999765423,0.000283800000033807,7.300000106624793e-06,0.003645799999958399,0.0035527000000001863,0.003659100000277249,7.9612264697836e-14,18025472,5,205721600.0,205668352.0,205930496.0,234528768.0,234246144.0,234676224.0,28598272.0,28524544.0,28717056.0
N,192,64,20.0,5,True,0.025360299999647395,0.02510630000006131,0.03101809999998295,0.003041799999664363,0.021667799999704584,0.0007789999999658903,0.006321800000023359,0.0003598999996938801,1.559999964229064e-05,0.006697800000438292,0.006603400000130932,0.006868800000120245,8.802791764261377e-14,40112640,5,207372288.0,207331328.0,207433728.0,261615616.0,261562368.0,261816320.0,54382592.0,54214656.0,54390784.0
N,256,64,20.0,5,True,0.051381600000240724,0.051205599999775586,0.05248729999993884,0.005796699999791599,0.04411810000010519,0.0013069000001451059,0.01448309999977937,0.0005364999997254927,2.6499999876250513e-05,0.015056099999583239,0.014742200000000594,0.016309699999965233,1.0129931637742864e-13,70981632,5,209842176.0,209784832.0,209879040.0,302063616.0,301953024.0,302161920.0,92262400.0,92221440.0,92282880.0
mu,32,16,20.0,5,True,0.0025196999999934633,0.0015689999995629478,0.0028348999999252555,0.0005780999999842606,0.00183759999981703,8.200000002034358e-05,0.0003001999998559768,8.270000034826808e-05,4.300000000512227e-06,0.0003839999999399879,0.0003778000000238535,0.0004368999998405343,2.1529256258462402e-14,340736,5,204460032.0,204435456.0,204689408.0,211800064.0,211603456.0,211906560.0,6971392.0,6914048.0,7446528.0
mu,32,32,20.0,5,True,0.002339000000119995,0.00227309999991121,0.002374899999722402,0.000346100000115257,0.0018666000000848726,6.69999999445281e-05,0.00035039999966102187,0.00011559999984456226,6.699999630654929e-06,0.0004733999999189109,0.00044560000014826073,0.0004979000000275846,2.201597885407269e-14,656128,5,204574720.0,204320768.0,204910592.0,211902464.0,211709952.0,212037632.0,7364608.0,7127040.0,7761920.0
mu,32,64,20.0,5,True,0.004226499999731459,0.004175099999883969,0.004315199999837205,0.0003768000001400651,0.003693100000418781,0.0001019000001178938,0.0003566000000319036,0.00015769999981785077,5.200000032345997e-06,0.0005312000002959394,0.00047210000002451125,0.0006098999997448118,2.4081752565578572e-14,1360640,5,204341248.0,204316672.0,204767232.0,212889600.0,212512768.0,213061632.0,8548352.0,8294400.0,8560640.0
